,id,title,original_language,release_date,popularity,vote_average,vote_count
123,185,A Clockwork Orange,en,1971-12-19,42.124,8.2,11819
124,476292,Maquia: When the Promised Flower Blooms,ja,2018-02-24,29.83,8.2,548
125,857,Saving Private Ryan,en,1998-07-24,85.071,8.2,14498
126,490,The Seventh Seal,sv,1957-02-16,22.449,8.2,2652
127,98,Gladiator,en,2000-05-04,139.101,8.2,16777
128,18148,Tokyo Story,ja,1953-11-03,15.071,8.2,896
129,603,The Matrix,en,1999-03-30,92.188,8.2,23610
130,610892,Violet Evergarden: Eternity and the Auto Memory Doll,ja,2019-09-06,29.745,8.2,308
131,11,Star Wars,en,1977-05-25,79.681,8.2,18994
132,1124,The Prestige,en,2006-10-19,43.019,8.2,14502
133,50014,The Help,en,2011-08-09,73.46,8.2,7446
134,791373,Zack Snyder's Justice League,en,2021-03-18,134.06,8.2,9094
135,11324,Shutter Island,en,2010-02-14,68.621,8.2,22086
136,324786,Hacksaw Ridge,en,2016-10-07,167.065,8.2,12530
137,592350,My Hero Academia: Heroes Rising,ja,2019-12-20,35.315,8.2,1064
138,629,The Usual Suspects,en,1995-07-19,36.427,8.2,9509
139,133919,Scenes from a Marriage,sv,1974-09-15,10.175,8.2,297
140,10098,The Kid,en,1921-01-21,14.58,8.2,1852
141,1398,Stalker,ru,1979-05-25,26.969,8.2,1836
142,823754,Bo Burnham: Inside,en,2021-07-22,14.415,8.2,384
143,77,Memento,en,2000-10-11,40.18,8.2,13550
144,654299,Out of the Clear Blue Sky,es,2019-12-24,26.309,8.2,318
145,26451,Investigation of a Citizen Above Suspicion,it,1970-10-16,9.855,8.2,679
146,422,8½,it,1963-02-14,19.716,8.2,2031
147,755812,"Miraculous World: New York, United HeroeZ",fr,2020-12-18,91.968,8.2,1007
148,531428,Portrait of a Lady on Fire,fr,2019-06-17,34.216,8.2,2145
149,426,Vertigo,en,1958-05-28,30.382,8.2,5177
150,517814,Capernaum,ar,2018-09-20,23.127,8.2,1508
151,313106,Doctor Who: The Day of the Doctor,en,2013-11-23,13.679,8.2,696
152,555604,Guillermo del Toro's Pinocchio,en,2022-11-09,83.397,8.2,2398
153,518068,Along with the Gods: The Last 49 Days,ko,2018-08-01,45.413,8.2,509
154,1010581,My Fault,es,2023-06-08,485.182,8.2,1449
155,20532,Sansho the Bailiff,ja,1954-03-31,16.774,8.2,319
156,678512,Sound of Freedom,en,2023-07-03,568.77,8.2,353
157,810693,Jujutsu Kaisen 0,ja,2021-12-24,99.233,8.2,1016
158,606856,Togo,en,2019-12-20,24.525,8.2,1796
159,399106,Piper,en,2016-06-16,14.161,8.2,1502
160,475557,Joker,en,2019-10-01,98.04,8.2,23179
161,68718,Django Unchained,en,2012-12-25,65.614,8.2,24484
162,289,Casablanca,en,1942-11-26,27.594,8.2,4859
163,398818,Call Me by Your Name,en,2017-09-01,49.442,8.2,11282
164,1422,The Departed,en,2006-10-04,41.309,8.2,13666
165,111,Scarface,en,1983-12-09,73.405,8.2,10602
166,470044,The Hate U Give,en,2018-10-19,24.362,8.2,1973
167,872,Singin' in the Rain,en,1952-04-09,19.453,8.2,2812
168,620683,My Mom is a Character 3,pt,2019-12-26,5.763,8.2,450
169,2457,Children of Paradise,fr,1945-03-15,13.094,8.2,351
170,664767,Mortal Kombat Legends: Scorpion's Revenge,en,2020-04-12,357.192,8.2,1264
171,762975,Purple Hearts,en,2022-07-29,63.192,8.2,2056
172,103,Taxi Driver,en,1976-02-09,53.581,8.2,10913
173,600354,The Father,en,2020-12-23,24.71,8.2,2728
174,406997,Wonder,en,2017-11-13,97.726,8.2,7381
175,626332,Flamin' Hot,en,2023-03-11,234.943,8.2,343
176,19,Metropolis,de,1927-02-06,19.297,8.2,2390
177,81481,Silenced,ko,2011-09-22,22.719,8.2,518
178,20914,My Friends,it,1975-10-24,6.052,8.1,632
179,508442,Soul,en,2020-12-25,119.825,8.2,9348
180,297610,Abraham Lincoln Vampire Hunter: The Great Calamity,en,2012-10-23,4.249,8.1,208
181,489,Good Will Hunting,en,1997-12-05,55.966,8.1,10986
182,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,ja,2019-08-30,26.695,8.1,474
183,92060,Michael Jackson's Thriller,en,1983-11-14,14.334,8.1,595
184,666,Central Station,pt,1998-11-20,11.436,8.1,773
185,348,Alien,en,1979-05-25,77.452,8.1,13066
186,55823,The Great War,it,1959-10-28,4.308,8.1,312
187,439,La Dolce Vita,it,1960-02-05,21.399,8.1,1658
188,550776,Believe Me: The Abduction of Lisa McVey,en,2021-06-01,36.174,8.1,510
189,20941,Innocent Voices,es,2005-01-28,16.011,8.1,400
190,705,All About Eve,en,1950-10-06,16.336,8.1,1363
191,614,Wild Strawberries,sv,1957-12-26,17.41,8.1,1456
192,600,Full Metal Jacket,en,1987-06-26,34.92,8.1,9554
193,640344,Me Against You: Mr. S's Vendetta,it,2020-01-17,6.165,8.1,459
194,996,Double Indemnity,en,1944-06-14,15.918,8.1,1579
195,11878,Yojimbo,ja,1961-04-25,30.699,8.1,1240
196,500,Reservoir Dogs,en,1992-09-02,76.338,8.1,13161
197,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,1964-01-29,28.42,8.1,5050
