name,rating,service,No of employees,Company Age,Location
TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , 55 years old ,Mumbai
Accenture,4.1,IT Services & Consulting , 1 Lakh+ Employees , 34 years old ,Dublin
Cognizant,3.9,IT Services & Consulting , 1 Lakh+ Employees , 29 years old ,Teaneck. New Jersey.
Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , 78 years old ,Bangalore/Bengaluru
ICICI Bank,4.0,Banking , 1 Lakh+ Employees , 29 years old ,Mumbai
HDFC Bank,3.9,Banking , 1 Lakh+ Employees , 29 years old ,Mumbai
Infosys,3.9,IT Services & Consulting , 1 Lakh+ Employees , 42 years old ,Bengaluru/Bangalore
Capgemini,3.9,IT Services & Consulting , 1 Lakh+ Employees , 56 years old ,Paris
Tech Mahindra,3.7,IT Services & Consulting , 1 Lakh+ Employees , 37 years old ,Pune
Genpact,4.0,IT Services & Consulting , 50k-1 Lakh Employees , 26 years old ,New York
HCLTech,3.7,IT Services & Consulting , 1 Lakh+ Employees , 32 years old ,Noida
Axis Bank,3.8,Banking , 50k-1 Lakh Employees , 30 years old ,Mumbai
Concentrix Corporation,3.9,BPO , 10k-50k Employees , 40 years old ,Fremont
IBM,4.1,Software Product , 50k-1 Lakh Employees , 112 years old ,Armonk
Amazon,4.2,Internet , 1 Lakh+ Employees , 29 years old ,Seattle
Reliance Jio,4.0,Telecom , 50k-1 Lakh Employees , 16 years old ,Navi Mumbai
Larsen & Toubro Limited,4.0,Engineering & Construction , 1 Lakh+ Employees , 85 years old ,Mumbai
HDB Financial Services,4.0,NBFC , 10k-50k Employees , 16 years old ,Ahmedabad
Reliance Retail,3.9,Retail , 1 Lakh+ Employees , 17 years old ,Navi Mumbai
Teleperformance,3.6,BPO , 10k-50k Employees , 45 years old ,Paris
Vodafone Idea,4.2,Telecom , 10k-50k Employees , 5 years old ,Gandhinagar
Deloitte,4.0,Management Consulting , 50k-1 Lakh Employees , 178 years old ,London
Kotak Mahindra Bank,3.8,Banking , 10k-50k Employees , 20 years old ,Mumbai
BYJU'S,3.2,EdTech , 1k-5k Employees , 12 years old ,Bangalore
Reliance Industries,4.0,Oil & Gas , Public , 46 years old ,Navi Mumbai
Bharti Airtel,4.0,Telecom , 10k-50k Employees , 28 years old ,Gurgaon/Gurugram
Tata Motors,4.2,Automobile , 10k-50k Employees , 78 years old ,Pune
Flipkart,4.1,Internet , 10k-50k Employees , 16 years old ,Bangalore
Ernst & Young,3.7,Accounting & Auditing , 10k-50k Employees , 21 years old ,London
WNS,3.6,BPO , 10k-50k Employees , 27 years old ,Mumbai
IndusInd Bank,3.7,Banking , 10k-50k Employees , 29 years old ,Gurgaon/Gurugram
Mahindra & Mahindra,4.2,Automobile , 1 Lakh+ Employees , 78 years old ,Mumbai
DXC Technology,3.9,IT Services & Consulting , 10k-50k Employees , 6 years old ,Minato
Infosys BPM,3.9,BPO , 10k-50k Employees , 21 years old ,Bangalore/Bengaluru
IDFC FIRST Bank,4.0,Banking , 10k-50k Employees , 5 years old ,Mumbai
Maruti Suzuki,4.2,Automobile , 10k-50k Employees , 40 years old ,New Delhi
Bajaj Finserv,4.0,Insurance , 10k-50k Employees , 16 years old ,Pune
Hinduja Global Solutions,4.0,Software Product , 10k-50k Employees , 23 years old ,Bangalore/Bengaluru
Conneqt Business Solutions,3.7,Analytics & KPO , 10k-50k Employees , 21 years old ,Mumbai
HSBC Group,4.1,Banking , 10k-50k Employees , 21 years old ,Pune
iEnergizer,4.3,BPO , 10k-50k Employees , 23 years old ,Noida
Startek,3.3,BPO , 10k-50k Employees , 6 years old ,Mumbai
Ericsson,4.3,Telecom , 10k-50k Employees , 147 years old ,Stockholm
Mphasis,3.6,IT Services & Consulting , 10k-50k Employees , 25 years old ,Bangalore/Bengaluru
PwC,3.7,Accounting & Auditing , 10k-50k Employees , 143 years old ,London
HDFC Life,4.1,Insurance , 10k-50k Employees , 1 years old ,Mumbai
Yes Bank,3.9,Banking , 10k-50k Employees , 19 years old ,Mumbai
Dr. Reddy's,4.2,Pharma , 10k-50k Employees , 39 years old ,Hyderabad/Secunderabad
Asian Paints,4.1,Chemicals , 10k-50k Employees , 81 years old ,Mumbai
Cipla Pharmaceutical,4.1,Pharma , 10k-50k Employees , 88 years old ,Mumbai
Sutherland Global Services,3.8,IT Services & Consulting , 10k-50k Employees , 37 years old ,Pittsford
NTT DATA,4.0,IT Services & Consulting , 10k-50k Employees , 35 years old ,Chiyoda City
ICICI Prudential Life Insurance,4.1,Insurance , 10k-50k Employees , 23 years old ,Mumbai
Jana Small Finance Bank,3.8,Banking , 10k-50k Employees , 17 years old ,Bangalore/Bengaluru
EXL Service,3.8,Analytics & KPO , 10k-50k Employees , 24 years old ,New York City
KPMG,3.7,Management Consulting , 10k-50k Employees , 36 years old ,Bengaluru/Bangalore
HCL Group,3.8,IT Services & Consulting , 1 Lakh+ Employees , 47 years old ,Chennai
Udaan,4.0,Internet , 1k-5k Employees , 7 years old ,Bangalore
UltraTech Cement,4.2,Building Material , 10k-50k Employees , 40 years old ,Mumbai
Lupin,4.1,Pharma , 10k-50k Employees , 55 years old ,Mumbai
Bandhan Bank,3.8,Banking , 50k-1 Lakh Employees , 22 years old ,Kolkata
Paytm,3.6,FinTech , 5k-10k Employees , 13 years old ,Noida
Bajaj Finance,4.1,NBFC , 10k-50k Employees , 36 years old ,Pune
L&T Infotech,3.8,IT Services & Consulting , 10k-50k Employees , 27 years old ,Mumbai
Indian Army,4.7,Defence & Aerospace , 1 Lakh+ Employees , 128 years old ,New Delhi
ITC,3.9,FMCG , 10k-50k Employees , 48 years old ,Kolkata
AU Small Finance Bank,4.2,Financial Services , 10k-50k Employees , 27 years old ,Jaipur
Mindtree,4.0,IT Services & Consulting , 10k-50k Employees , 24 years old ,Bangalore/Bengaluru
Hindustan Unilever,4.2,FMCG , 10k-50k Employees , 90 years old ,Mumbai
JP Morgan Chase,4.2,10k-50k Employees , Forbes Global 2000 , 23 years old ,New York
FIS,3.9,IT Services & Consulting , 5k-10k Employees , 55 years old ,Jacksonville
Ujjivan Small Finance Bank,4.1,Banking , 10k-50k Employees , 6 years old ,Bangalore/Bengaluru
Delhivery,4.0,Logistics , 10k-50k Employees , 12 years old ,Delhi
Wells Fargo,4.2,Banking , 10k-50k Employees , 171 years old ,San Francisco
IIFL Finance,3.8,Financial Services , 10k-50k Employees , 28 years old ,Mumbai
Amazon Development Centre India,4.2,Hyderabad/Secunderabad +48 more,,,Hyderabad/Secunderabad
Home Credit Finance,4.1,Financial Services , 5k-10k Employees , 11 years old ,Gurugram
Quess,4.0,Recruitment , 1 Lakh+ Employees , 16 years old ,Bangalore
Sun Pharmaceutical Industries,4.1,Pharma , 10k-50k Employees , 40 years old ,Mumbai
TATA Steel,4.1,Iron & Steel , 1 Lakh+ Employees , 116 years old ,Mumbai
Hexaware Technologies,3.7,IT Services & Consulting , 10k-50k Employees , 33 years old ,Mumbai
OPPO,3.9,Consumer Electronics & Appliances , 10k-50k Employees , 19 years old ,Dongguan
Shapoorji Pallonji Group,4.2,Engineering & Construction , 5k-10k Employees , 158 years old ,Mumbai
JSW Steel,3.9,Iron & Steel , 10k-50k Employees , 41 years old ,Mumbai
Ashok Leyland,4.1,Automobile , 10k-50k Employees , 75 years old ,Chennai
Shriram Transport Finance,4.1,NBFC , 10k-50k Employees , 44 years old ,Mumbai
Aurobindo Pharma,4.0,Pharma , 10k-50k Employees , 37 years old ,Hyderabad/Secunderabad
Max Life Insurance,4.1,Insurance , 10k-50k Employees , 23 years old ,Gurgaon/Gurugram
Vivo,4.0,Consumer Electronics & Appliances , 5k-10k Employees , 14 years old ,Gurgaon/Gurugram
Muthoot Finance,3.6,NBFC , 10k-50k Employees , 84 years old ,Kochi/Cochin
eClerx,3.5,IT Services & Consulting , 10k-50k Employees , 23 years old ,Mumbai
Zydus Cadila,4.2,Pharma , 10k-50k Employees , 71 years old ,Ahmedabad
Oracle,3.9,Software Product , 50k-1 Lakh Employees , 46 years old ,Austin
Siemens,4.2,Power , 5k-10k Employees , 176 years old ,Munich
Apollo Hospitals,4.1,Healthcare , 50k-1 Lakh Employees , 40 years old ,Chennai
Mahindra & Mahindra Financial Services,4.3,NBFC , 10k-50k Employees , 32 years old ,Mumbai
Tata Projects,4.2,Engineering & Construction , 10k-50k Employees , 44 years old ,Mumbai
JLL,4.2,Real Estate , 5k-10k Employees , 26 years old ,Mumbai
Capgemini Technology Services India Limited,4.0,Bengaluru/Bangalore +31 more,,,Bengaluru/Bangalore
First Source,3.9,BPO , 10k-50k Employees , 22 years old ,Mumbai
Hero MotoCorp,4.1,Automobile , 5k-10k Employees , 39 years old ,Gurgaon/Gurugram
Hewlett-Packard Enterprise,4.3,Emerging Technologies , 10k-50k Employees , 8 years old ,Houston
JustDial,3.6,Internet , 10k-50k Employees , 27 years old ,Mumbai
Bajaj Allianz Life Insurance,4.1,Insurance , 10k-50k Employees , 22 years old ,Pune
Omega Healthcare,3.7,IT Services & Consulting , 5k-10k Employees , 19 years old ,Florida
Cyient,3.7,IT Services & Consulting , 10k-50k Employees , 32 years old ,Hyderabad/Secunderabad
Megha Engineering & Infrastructures,4.1,Engineering & Construction , 1k-5k Employees , 34 years old ,Hyderabad/Secunderabad
L&T Construction,4.0,Engineering & Construction , 10k-50k Employees , 79 years old ,Chennai
Hyundai Motor,4.3,Automobile , 10k-50k Employees , 56 years old ,Seoul
D Mart,3.9,Retail , 10k-50k Employees , 4 years old ,Mumbai
Reliance Communications,3.9,Telecom , 10k-50k Employees , 21 years old ,Navi Mumbai
TVS Motor,4.0,Automobile , 10k-50k Employees , 44 years old ,Chennai
BigBasket,4.0,Internet , 10k-50k Employees , 12 years old ,Bangalore
Bosch,4.3,Auto Components , 10k-50k Employees , 137 years old ,Gerlingen
Oyo Rooms,3.4,Hospitality , 1k-5k Employees , 10 years old ,Gurgaon
Indiamart Intermesh,3.7,Internet , 10k-50k Employees , 27 years old ,Noida
Intelenet Global Services,3.7,BPO , 10k-50k Employees , 23 years old ,Mumbai
Manappuram Finance,3.9,NBFC , 10k-50k Employees , 74 years old ,Thrissur/Trichur
Atos Syntel,3.6,IT Services & Consulting , 5k-10k Employees , 43 years old ,Troy
Future Group,4.2,Retail , 10k-50k Employees , 10 years old ,Mumbai
SBI Cards & Payment Services,3.7,Financial Services , 1k-5k Employees , 25 years old ,Gurgaon/Gurugram
BNY Mellon,4.1,IT Services & Consulting , 5k-10k Employees , 19 years old ,New York City
Cummins,4.4,Auto Components , 10k-50k Employees , 61 years old ,Columbus
Bosch Global Software Technologies,4.2,Software Product , 10k-50k Employees , 33 years old ,Gerlingen
Wipro BPS,3.8,IT Services & Consulting , 1 Lakh+ Employees , 23 years old ,Bengaluru
UST,3.8,IT Services & Consulting , 10k-50k Employees , 22 years old ,Aliso Viejo
IQVIA,4.1,Clinical Research , 10k-50k Employees , 41 years old ,Durham
Coforge,3.6,IT Services & Consulting , 10k-50k Employees , 19 years old ,Noida
Amdocs,4.0,Software Product , 10k-50k Employees , 41 years old ,Chesterfield
Fullerton India,4.1,Financial Services , 10k-50k Employees , 16 years old ,Mumbai
Schneider Electric,4.1,Industrial Automation , 10k-50k Employees , 24 years old ,Paris
Samsung,4.1,5k-10k Employees , Public , 85 years old ,Seoul
Nagarro,4.4,IT Services & Consulting , 10k-50k Employees , 27 years old ,Munich
ICICI Lombard General Insurance Company,3.8,Insurance , 10k-50k Employees , 22 years old ,Mumbai
GlobalLogic,3.8,IT Services & Consulting , 10k-50k Employees , 23 years old ,San Jose
CBRE,4.2,Real Estate , 10k-50k Employees , 117 years old ,Los Angeles
Virtusa Consulting Services,3.8,IT Services & Consulting , 10k-50k Employees , 27 years old ,Southborough
JBM Group,4.0,Auto Components , 10k-50k Employees , 40 years old ,Gurgaon/Gurugram
Dell,4.1,Consumer Electronics & Appliances , 10k-50k Employees , 39 years old ,Round Rock
Ecom Express,4.1,Logistics , 10k-50k Employees , 11 years old ,Gurgaon
Bajaj Auto,3.9,Automobile , 5k-10k Employees , 78 years old ,Pune
State Bank of India,3.8,Banking , 1 Lakh+ Employees , 217 years old ,Mumbai
Cholamandalam Investment & Finance,4.1,NBFC , 5k-10k Employees , 45 years old ,Chennai
Equitas Small Finance Bank,4.1,Banking , 10k-50k Employees , 16 years old ,Chennai
Viatris,4.2,Pharma , 10k-50k Employees , 62 years old ,Canonsburg
Swiggy,4.0,Internet , 5k-10k Employees , 9 years old ,Bangalore
Samvardhana Motherson Group,3.8,Auto Components , 5k-10k Employees , 37 years old ,Noida
KEC International,4.1,Real Estate , 5k-10k Employees , 78 years old ,Mumbai
Nagarjuna Construction Company,4.1,Engineering & Construction , 1k-5k Employees , 25 years old ,Hyderabad/Secunderabad
Aditya Birla Fashion and Retail,4.2,Retail , 10k-50k Employees , 8 years old ,Mumbai
SBI Life Insurance Company,3.8,Insurance , 10k-50k Employees , 22 years old ,Mumbai
Ekart Logistics,4.1,Logistics , 5k-10k Employees , 14 years old ,San Francisco
Muthoot Fincorp,4.0,NBFC , 10k-50k Employees , 136 years old ,Trivandrum/Thiruvananthapuram
Godrej & Boyce Manufacturing,3.9,FMCG , 10k-50k Employees , 126 years old ,Mumbai
Royal Enfield,4.2,Automobile , 1k-5k Employees , 122 years old ,Gurgaon/Gurugram
L&T Technology Services,3.4,IT Services & Consulting , 10k-50k Employees , 11 years old ,Vadodara/Baroda
Optum,4.1,Healthcare , 10k-50k Employees , 46 years old ,Prairie
Tata Communications,4.2,Telecom , 5k-10k Employees , 37 years old ,Mumbai
LG Electronics,4.0,Consumer Electronics & Appliances , 10k-50k Employees , 65 years old ,Seoul
Piramal Capital Housing Finance,4.3,NBFC , 5k-10k Employees , 3 years old ,Mumbai
John Deere,4.3,IT Services & Consulting , 5k-10k Employees , 22 years old ,Moline
Whitehat jr,3.6,EdTech , 5k-10k Employees , 5 years old ,Mumbai
L&T Finance,4.0,NBFC , 10k-50k Employees , 29 years old ,Mumbai
Intas Pharmaceuticals,4.2,Pharma , 10k-50k Employees , 23 years old ,Ahmedabad
Thermax Limited,4.2,Industrial Machinery , 5k-10k Employees , 43 years old ,Pune
Varun Beverages,4.0,Beverage , 10k-50k Employees , 28 years old ,Gurgaon/Gurugram
Hetero Drugs,3.8,Pharma , 1k-5k Employees , 30 years old ,Hyderabad/Secunderabad
UnitedHealth,4.2,Healthcare , 10k-50k Employees , 46 years old ,Minnetonka
Ford Motor,4.5,Automobile , 5k-10k Employees , 120 years old ,Dearborn
Sodexo,4.1,Facility Management Services , 10k-50k Employees , 15 years old ,Issy les Moulineaux
Abbott Healthcare,4.2,Pharma , 1k-5k Employees , 32 years old ,Illinois City
Deutsche Bank,4.1,Banking , 10k-50k Employees , 153 years old ,Frankfurt
Subros,4.0,Auto Components , 1k-5k Employees , 38 years old ,Noida
Randstad,3.9,1k-5k Employees , Conglomerate , 31 years old ,Chennai
Macleods Pharmaceuticals,3.8,Pharma , 5k-10k Employees , 37 years old ,Mumbai
VE Commercial Vehicles,4.0,Automobile , 1k-5k Employees , 15 years old ,Gurgaon/Gurugram
Automatic Data Processing (ADP),4.2,IT Services & Consulting , 5k-10k Employees , 74 years old ,New Jersey
American Express,4.3,Financial Services , 10k-50k Employees , 173 years old ,New York City
CARS24,3.6,Internet , 5k-10k Employees , 8 years old ,Gurgaon
Havells,4.1,Electrical Equipment , 5k-10k Employees , 40 years old ,Noida
Wipro Consumer Care & Lighting,3.7,FMCG , 1k-5k Employees , 78 years old ,Bangalore/Bengaluru
Pidilite Industries,4.3,Chemicals , 5k-10k Employees , 64 years old ,Mumbai
Alkem Laboratories,4.0,Pharma , 10k-50k Employees , 50 years old ,Mumbai
Hindustan Coca Cola Beverages,4.4,Beverage , 5k-10k Employees , 26 years old ,Bangalore
Bharat Electronics,4.1,Consumer Electronics & Appliances , 5k-10k Employees , 69 years old ,Bangalore/Bengaluru
Indian Air Force,4.6,Defence & Aerospace , 1 Lakh+ Employees , 91 years old ,New Delhi
Alembic Pharmaceuticals,4.0,Pharma , 10k-50k Employees , 116 years old ,Vadodara/Baroda
Axis Direct,4.0,Financial Services , 1k-5k Employees , 12 years old ,San Mateo
Wipro Infotech,4.0,IT Services & Consulting , 1 Lakh+ Employees (Global) , 78 years old ,Bangalore
Atos,3.9,IT Services & Consulting , 201-500 Employees , 26 years old ,Vilnius
Team Lease,3.9,Recruitment , 1k-5k Employees , 7 years old ,Bangalore/Bengaluru
Cgi Group,4.2,IT Services & Consulting , 10k-50k Employees , 47 years old ,Montreal
Hindalco Industries,4.3,Metals & Mining , 10k-50k Employees , 65 years old ,Mumbai
Vishal Mega Mart,3.8,Retail , 10k-50k Employees , 15 years old ,Gurgaon/Gurugram
DCB Bank,3.9,Banking , 5k-10k Employees , 93 years old ,Mumbai
Persistent Systems,3.9,IT Services & Consulting , 10k-50k Employees , 33 years old ,Pune
Publicis Sapient,3.6,IT Services & Consulting , 10k-50k Employees , 33 years old ,New York
CMS IT Services,3.2,IT Services & Consulting , 5k-10k Employees , 9 years old ,Bangalore
ABB Group,4.1,Electrical Equipment , 10k-50k Employees , 35 years old ,Zurich
Glenmark Pharmaceuticals,4.0,Pharma , 501-1k Employees , 46 years old ,Mumbai
Ipca Laboratories,4.0,Pharma , 10k-50k Employees , 74 years old ,Mumbai
NatWest Group,4.1,Banking , 10k-50k Employees , Forbes Global 2000 ,Gurgaon/Gurugram
Honda Motorcycle & Scooter,4.2,Automobile , 1k-5k Employees , 24 years old ,Gurgaon/Gurugram
DTDC Express,3.8,Logistics , 1k-5k Employees , 33 years old ,Bangalore/Bengaluru
Standard Chartered Bank,4.0,Banking , 10k-50k Employees , 54 years old ,London
MRF Tyres,3.7,Auto Components , 10k-50k Employees , 77 years old ,Chennai
Bank of America,4.4,Banking , 10k-50k Employees , 25 years old ,Charlotte
Maersk,4.3,Logistics , 10k-50k Employees , 119 years old ,Copenhagen
Aarti Industries,4.1,Chemicals , 5k-10k Employees , 48 years old ,Mumbai
R1 RCM,3.9,Accounting & Auditing , 5k-10k Employees , 20 years old ,Murray
GATI-KWE,4.1,Logistics , 1k-5k Employees , 11 years old ,Hyderabad/Secunderabad
Reliance Nippon Life Insurance,3.9,Insurance , 10k-50k Employees , 23 years old ,Mumbai
Access Healthcare,3.9,IT Services & Consulting , 1k-5k Employees , 12 years old ,Dallas
24/7 Customer,3.6,Software Product , 5k-10k Employees , 23 years old ,San Jose
Biocon,3.9,Biotechnology , 10k-50k Employees , 45 years old ,Bangalore/Bengaluru
Tata AIA Life Insurance,4.1,Insurance , 10k-50k Employees , 22 years old ,Mumbai
Shoppers Stop,4.2,Retail , 5k-10k Employees , 32 years old ,Mumbai
ITC Infotech India,3.6,IT Services & Consulting , 5k-10k Employees , 23 years old ,Bangalore/Bengaluru
Utkarsh Small Finance Bank,3.9,Banking , 10k-50k Employees , 14 years old ,Varanasi
Paras Hospital,4.7,Healthcare , 5k-10k Employees , 17 years old ,Gurgaon/Gurugram
Conduent,3.6,IT Services & Consulting , 5k-10k Employees , 6 years old ,Florham Park
Jindal Steel and Power,3.9,Iron & Steel , 5k-10k Employees , 71 years old ,Delhi/NCR
Ceat Tyres,4.0,Auto Components , 5k-10k Employees , 65 years old ,Mumbai
Suzlon Group,4.0,Power , 5k-10k Employees , 28 years old ,Pune
Berger Paints,3.7,Chemicals , 1k-5k Employees , 100 years old ,Kolkata
HDFC Ergo General Insurance,4.0,Insurance , 5k-10k Employees , 21 years old ,Mumbai
Indian Oil Corporation,4.4,Oil & Gas , 10k-50k Employees , 64 years old ,Delhi/NCR
RSPL Group,4.1,FMCG , 1k-5k Employees , 36 years old ,Mumbai
Dabur,3.9,FMCG , 5k-10k Employees , 139 years old ,Ghaziabad
RBL Bank,3.7,Banking , 1k-5k Employees , 80 years old ,Mumbai
PolicyBazaar,3.5,FinTech , 5k-10k Employees , 15 years old ,Gurgaon
Escorts Kubota Limited,4.1,Automobile , 10k-50k Employees , 63 years old ,Faridabad
GeBBS Healthcare Solutions,3.8,BPO , 5k-10k Employees , 18 years old ,Culver City
ACC,4.0,Building Material , 5k-10k Employees , 87 years old ,Mumbai
PNB MetLife,3.5,Insurance , 5k-10k Employees , 22 years old ,Mumbai
JK Cement,4.1,Building Material , 1k-5k Employees , 49 years old ,Gurgaon/Gurugram
Kotak Mahindara Life Insurance,3.8,Insurance , 10k-50k Employees , 22 years old ,Mumbai
Cogent E Services,3.4,BPO , 10k-50k Employees , 19 years old ,Noida
Carelon Global Solutions,4.1,Hyderabad/Secunderabad +9 more,,,Hyderabad/Secunderabad
Simplex Infrastructures,3.3,Engineering & Construction , 1k-5k Employees , 99 years old ,Kolkata
Bajaj Electricals,4.1,Consumer Electronics & Appliances , 1k-5k Employees , 85 years old ,Mumbai
Titan Company,4.4,Other , 5k-10k Employees , 5 years old ,Mumbai
Torrent Pharmaceuticals,3.9,Pharma , 10k-50k Employees , 52 years old ,Ahmedabad
IndiGo,3.6,Aviation , 10k-50k Employees , 17 years old ,Gurgaon/Gurugram
Reliance Digital,4.2,Retail , 5k-10k Employees , 16 years old ,Mumbai
Aakash Educational Services,3.6,EdTech , 10k-50k Employees , 35 years old ,New Delhi
ArcelorMittal Nippon Steel,4.0,Iron & Steel , 5k-10k Employees , Conglomerate ,Surat
Arvind Group,4.1,Fashion & Textile , 10k-50k Employees , 92 years old ,Ahmedabad
Wipro Enterprises Ltd,3.8,IT Services & Consulting , 501-1k Employees , 78 years old ,Bangalore
KocharTech,4.2,IT Services & Consulting , 1k-5k Employees , 28 years old ,Gurgaon/Gurugram
Dilip Buildcon,4.0,Engineering & Construction , 10k-50k Employees , 36 years old ,Bhopal
Huawei Technologies,4.0,IT Services & Consulting , 51-200 Employees , 21 years old ,Gurgaon/Gurugram
Jubilant Foods Works,3.8,Retail , 10k-50k Employees , 28 years old ,Noida
KPIT Technologies,3.6,Software Product , 5k-10k Employees , 33 years old ,Pune
UPL,4.1,Agro Chemicals , 1k-5k Employees , 54 years old ,Mumbai
Lava International,4.1,Telecom , 1k-5k Employees , 14 years old ,Noida
Domino's Pizza,4.0,Hospitality , 1k-5k Employees , 63 years old ,Ypsilanti
Apollo Tyres,4.1,Auto Components , 5k-10k Employees , 51 years old ,Gurgaon/Gurugram
Marpu Foundation,4.9,Non-Profit , 11-50 Employees , 7 years old ,Hyderabad/Secunderabad
Reliance SMSL,4.0,BPO , 1k-5k Employees , 16 years old ,Mumbai
Tata AIG,4.2,Insurance , 5k-10k Employees , 23 years old ,Mumbai
Capita,3.9,5k-10k Employees , 18 years old , 18 years old ,Indore
Flex,4.1,Electronics Manufacturing , 10k-50k Employees , 54 years old ,San Jose
Birlasoft,3.7,IT Services & Consulting , 10k-50k Employees , 28 years old ,Pune
Patanjali Ayurved,4.0,FMCG , 5k-10k Employees , 17 years old ,Haridwar
Synechron,4.1,IT Services & Consulting , 5k-10k Employees , 22 years old ,New York
McDonald's,4.3,Hospitality , 5k-10k Employees , 68 years old ,Chicago
Statestreet HCL Services,3.2,BPO , 5k-10k Employees , 11 years old ,New Delhi
S&P Global,4.2,IT Services & Consulting , 5k-10k Employees , 106 years old ,New York City
Taj Hotels Resorts and Palaces,4.2,Hospitality , 10k-50k Employees , 120 years old ,Mumbai
State Street Syntel,3.8,Financial Services , 501-1k Employees , 19 years old ,Mumbai
AFCONS Infrastructure,4.4,Engineering & Construction , 10k-50k Employees , 64 years old ,Mumbai
Lenskart,3.2,Other , 1k-5k Employees , 13 years old ,Faridabad
Walmart,4.0,Retail , 5k-10k Employees , 14 years old ,Bangalore/Bengaluru
Tech Mahindra Business Services,3.5,BPO , 1k-5k Employees , 20 years old ,Mumbai
Tractors and Farm Equipment,4.1,Automobile , 5k-10k Employees , 63 years old ,Chennai
Max Healthcare,4.1,Healthcare , 1k-5k Employees , 22 years old ,Delhi/NCR
AGS Health,4.1,BPO , 10k-50k Employees , 12 years old ,Washington DC
Mankind Pharma,4.1,Pharma , 5k-10k Employees , 28 years old ,New Delhi
Capgemini Engineering,3.6,10k-50k Employees , Gurgaon/Gurugram +16 more,10k-50k Employees ,Gurgaon/Gurugram
Zensar Technologies,3.8,IT Services & Consulting , 5k-10k Employees , 22 years old ,Pune
Tata Technologies,3.7,IT Services & Consulting , 5k-10k Employees , 34 years old ,Singapore
Square Yards,3.8,Real Estate , 1k-5k Employees , 10 years old ,Gurgaon
Fortis Healthcare,4.0,Healthcare , 5k-10k Employees , 27 years old ,Gurgaon/Gurugram
Bajaj Allianz General Insurance,4.1,Financial Services , 5k-10k Employees , 5k-10k Employees ,Pune
Nestle,4.1,Food Processing , 5k-10k Employees , 64 years old ,Vevey
Landmark Group,4.1,Retail , 1k-5k Employees , 50 years old ,Dubai Marina
Blue Dart Express,4.1,Logistics , 10k-50k Employees , 40 years old ,Mumbai
Ola Cabs,3.6,Internet , 501-1k Employees , 13 years old ,Bangalore
Birla Sun Life Insurance,4.2,Insurance , 10k-50k Employees , 23 years old ,Mumbai
Fiserv,3.7,FinTech , 5k-10k Employees , 39 years old ,Brookfield
IGT Solutions,3.4,IT Services & Consulting , 5k-10k Employees , 25 years old ,Gurgaon/Gurugram
HDFC Sales,4.0,Financial Services , 10k-50k Employees , 19 years old ,Mumbai
Future Retail,4.3,Retail , 10k-50k Employees , 36 years old ,San Francisco
Societe Generale,3.9,Financial Services , 1k-5k Employees , 23 years old ,Bangalore/Bengaluru
BlackBuck,3.9,Logistics , 501-1k Employees , 8 years old ,Bangalore
I Process Services,3.9,Recruitment , 1k-5k Employees , 18 years old ,Mumbai
Nokia,4.2,Hardware & Networking , 10k-50k Employees , 158 years old ,Espoo
Lifestyle,4.4,Retail , 10k-50k Employees , 24 years old ,Bangalore/Bengaluru
Voltas,4.0,Consumer Electronics & Appliances , 1k-5k Employees , 69 years old ,Mumbai
Eureka Forbes,3.9,Consumer Electronics & Appliances , 5k-10k Employees , 41 years old ,Mumbai
Rivigo,3.9,Internet , 1k-5k Employees , 9 years old ,Gurgaon
JMC Projects,4.2,Engineering & Construction , 1k-5k Employees , 41 years old ,Mumbai
UNO Minda,4.0,Auto Components , 201-500 Employees , 65 years old ,Gurgaon
The Himalaya Drug Company,4.1,Pharma , 5k-10k Employees , 93 years old ,San Francisco
Extramarks Education,3.5,EdTech , 1k-5k Employees , 16 years old ,Noida
State Street Corporation,3.8,Financial Services , 10k-50k Employees , 231 years old ,Boston
Micro Labs,3.7,Pharma , 10k-50k Employees , 50 years old ,Bangalore/Bengaluru
Radisson Hotels,4.0,Hospitality , 10k-50k Employees , 114 years old ,Minnetonka
G4S,4.0,Law Enforcement & Security , 1 Lakh+ Employees , 27 years old ,Gurgaon/Gurugram
Tata Teleservices,4.1,Telecom , 201-500 Employees , 27 years old ,Mumbai
Aditya Birla Group,4.2,Retail , 10k-50k Employees , 166 years old ,Mumbai
TVS Supply Chain Solutions,3.9,Logistics , 1k-5k Employees , 127 years old ,Chennai
Exide Industries,3.6,Auto Components , 1k-5k Employees , 76 years old ,Kolkata
Britannia,4.1,Food Processing , 5k-10k Employees , 131 years old ,Reading
PepsiCo,4.1,Food Processing , 1k-5k Employees , 34 years old ,Harrison
ElasticRun,3.4,Logistics , 1k-5k Employees , 7 years old ,Pune
Grasim Industries,4.0,Building Material , 10k-50k Employees , 76 years old ,Nagda
Ajanta Pharma,4.0,Pharma , 1k-5k Employees , 50 years old ,Mumbai
Nokia Networks,4.4,10k-50k Employees , Chennai +79 more,10k-50k Employees ,Chennai
R.R. Donnelley,4.1,BPO , 5k-10k Employees , 159 years old ,Chicago
ACT Fibernet,4.1,Telecom , 5k-10k Employees , 15 years old ,Bengaluru/Bangalore
Life Insurance Corporation of India,4.3,Insurance , 1 Lakh+ Employees , 67 years old ,Mumbai
