name,rating,service,No of employees,Company Age,Location
Troikaa Pharmaceuticals,3.9,Pharma , 1k-5k Employees , 40 years old ,Ahmedabad
Sandvik Asia,4.4,Industrial Machinery , 10k-50k Employees (Global) , 161 years old ,Stockholm
Air India,4.0,Aviation , 10k-50k Employees , 93 years old ,Delhi/NCR
Reliance Capital,3.8,Financial Services , 1k-5k Employees , 18 years old ,Navi Mumbai
Alok Industries,3.8,Fashion & Textile , 10k-50k Employees , 37 years old ,Mumbai
SNC-Lavalin,4.3,Engineering & Construction , 1k-5k Employees , 112 years old ,Montreal
Vedanta Aluminium,3.9,Metals & Mining , 1k-5k Employees , 20 years old ,Jharsuguda
Hikal,4.0,Pharma , 1k-5k Employees , 35 years old ,Mumbai
Patra Corporation,3.7,IT Services & Consulting , 1k-5k Employees , 18 years old ,El Dorado Hills
Visionary RCM Infotech,3.4,IT Services & Consulting , 1k-5k Employees , 17 years old ,Chennai
Mswipe Technologies,3.1,FinTech , 1k-5k Employees , 12 years old ,Mumbai
Napino Auto & Electronics,4.1,Auto Components , 5k-10k Employees , 26 years old ,Gurgaon/Gurugram
GVPR Engineers,4.1,Engineering & Construction , 501-1k Employees , 26 years old ,Hyderabad/Secunderabad
Allianz Technology,4.5,IT Services & Consulting , 1k-5k Employees , 133 years old ,Munich
HT Media,3.6,Media & Entertainment , 1k-5k Employees , 99 years old ,Delhi/NCR
Acme Cleantech Solutions,3.9,Industrial Machinery , 1k-5k Employees , 20 years old ,Gurgaon/Gurugram
Fusion Microfinance,4.0,NBFC , 5k-10k Employees , 13 years old ,Delhi
Shriram General Insurance,3.7,Insurance , 10k-50k Employees , 15 years old ,Jaipur
Micromax Informatics,3.8,Consumer Electronics & Appliances , 1k-5k Employees , 23 years old ,Gurgaon/Gurugram
Vertiv,3.9,IT Services & Consulting , 51-200 Employees (Global) , 7 years old ,Columbus
Tata Steel BSL,4.0,Metals & Mining , 10k-50k Employees , 36 years old ,Mumbai
Precision Techserve,3.9,IT Services & Consulting , 1k-5k Employees , 24 years old ,Chennai
United Breweries,3.8,Beverage , 1k-5k Employees , 166 years old ,Bangalore/Bengaluru
Samsung Engineering,4.2,Engineering & Construction , 1k-5k Employees , 17 years old ,Suwon-Si
Mu Sigma,3.1,Analytics & KPO , 1k-5k Employees , 19 years old ,Northbrook
Air India Sats Airport Services,3.9,Aviation , 1k-5k Employees , 13 years old ,Mumbai
B. G. Shirke Construction Technology,4.1,Engineering & Construction , 1k-5k Employees , 79 years old ,Pune
Bechtel,4.2,Engineering & Construction , 1k-5k Employees , 125 years old ,Reston
Parekh Integrated Services,4.1,Logistics , 1k-5k Employees , 42 years old ,Mumbai
Duck Creek Technologies,4.5,Software Product , 501-1k Employees , 23 years old ,Boston
Samasta Microfinance,4.1,Financial Services , 5k-10k Employees , 15 years old ,Bangalore
Willis Towers Watson,4.0,Financial Services , 1k-5k Employees , 7 years old ,London
Wheels,4.1,Auto Components , 1k-5k Employees , 61 years old ,Chennai
Fareportal,3.3,Internet , 1k-5k Employees , 21 years old ,New York
Everest Industries,4.1,Building Material , 1k-5k Employees , 89 years old ,Noida
Medha Servo Drives,4.1,Electronics Manufacturing , 501-1k Employees , 39 years old ,Hyderabad/Secunderabad
PayPal,4.1,IT Services & Consulting , 1k-5k Employees , 25 years old ,San Jose
Galfar,4.2,Engineering & Construction , 1k-5k Employees , 51 years old ,Muscat
CRB Tech Solution,4.3,EdTech , 501-1k Employees , 22 years old ,Pune
ICICI Prudential Mutual Fund,3.9,Financial Services , 1k-5k Employees , 30 years old ,New Delhi
Samsung Electronics Corporation,4.2,Consumer Electronics & Appliances , 1 Lakh+ Employees (Global) , Forbes Global 2000 ,Noida
VeeTechnologies,3.7,IT Services & Consulting , 1k-5k Employees , 23 years old ,New York
Godfrey Phillips India,4.2,FMCG , 1k-5k Employees , 90 years old ,Delhi/NCR
Atlas Copco,4.3,Industrial Machinery , 1k-5k Employees , 150 years old ,Nacka Municipality
HPCL-Mittal Energy,4.3,1k-5k Employees , 16 years old , 16 years old ,Noida
Skill Lync,3.2,EdTech , 201-500 Employees , 8 years old ,Palo Alto
Godrej Agrovet,4.1,Agriculture , 1k-5k Employees , 1k-5k Employees ,Mumbai
Natco Pharma,3.9,Pharma , 1k-5k Employees , 42 years old ,Hyderabad/Secunderabad
Gharda Chemicals,4.1,Chemicals , 1k-5k Employees , 56 years old ,Mumbai
