,Name,Rating,Cuisine,Avg Rate,Area,Zone
466,Brain Freeze Ice Cream And Dessert,, Desserts,₹ 500 for 2 (approx) ,"SJTI Complex,Sadar", West Nagpur
467,Liberty Faimly Restaurant,, North Indian,"₹ 1,000 for 2 (approx) ",Sadar, West Nagpur
468,Dinshaw's Cream Studio,, Desserts,₹ 500 for 2 (approx) ,"SJTI Complex,Sadar", West Nagpur
469,Cake's Inn,, Desserts,₹ 300 for 2 (approx) ,Sadar, West Nagpur
470,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Sadar, West Nagpur
471,Paratha Shop,, North Indian,₹ 500 for 2 (approx) ,Sadar, West Nagpur
472,Choti Delhi,, North Indian,₹ 800 for 2 (approx) ,Sadar, West Nagpur
473,Sangam Restaurant,," North Indian, South Indian, Chinese, Desserts",₹ 600 for 2 (approx) ,Ayodhya Nagar, South Nagpur
474,Tauby's,," Desserts, Fast Food",₹ 500 for 2 (approx) ,Ramdaspeth, West Nagpur
475,Amarjeet Bar & Restaurant,," North Indian, Chinese","₹ 1,100 for 2 (approx) ",Gandhibagh, East Nagpur
476,Panino The Sandwich World,, Fast Food,₹ 200 for 2 (approx) ,Ramdaspeth, West Nagpur
477,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Dhantoli, West Nagpur
478,Finger Bite,, Fast Food,₹ 200 for 2 (approx) ,Dhantoli, West Nagpur
479,Domino's Pizza,5," Pizza, Fast Food",₹ 500 for 2 (approx) ,Wardha Road, South Nagpur
480,Ten 11,1," North Indian, Chinese",₹ 700 for 2 (approx) ,Nandanvan, East Nagpur
481,Keventers,,,₹ 500 for 2 (approx),Civil Lines, West Nagpur
482,Fuel Blend,,,₹ 300 for 2 (approx),Ramdaspeth, West Nagpur
483,The Sandwich Shop,, Fast Food,₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
484,Chowringhee - Kathi Rolls & Kabab,," Fast Food, Chinese",₹ 300 for 2 (approx) ,Chhaoni, North Nagpur
485,Maharaj Bag Lawn,," Chinese, North Indian, Seafood",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
486,Cake's Inn,, Desserts,₹ 300 for 2 (approx) ,Gandhibagh, East Nagpur
487,Lazeez,," North Indian, Biryani",₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
488,Tibb's Frankie,, Fast Food,₹ 500 for 2 (approx) ,Ramdaspeth, West Nagpur
489,John Chinese Corner,, Chinese,₹ 300 for 2 (approx) ,Sadar, West Nagpur
490,Paratha Corner,, North Indian,₹ 300 for 2 (approx) ,Sadar, West Nagpur
491, The Egg Story,, Fast Food,₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
492,Chennai Chowpatty,, South Indian,₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
